Inspection_ID (unique),MORTALITY_CENTER_ID,INSPECTION_DATE,INSPECTION_DECADE,INSPECTION_YEAR,SPECIES,LATITUDE,LONGITUDE,LANDOWNER_TYPE,OAK_WILT_CONFIRMED,SYMPTOM_VEINAL_NECROSIS,SYMPTOM_MORTALITY_PATTERN
,5783,7/5/94,1990s,1994,Live Oak,30.232954,-97.781822,Unknown,Yes,Yes,
,5724,7/20/94,1990s,1994,Live Oak,30.261227,-97.800801,Unknown,Yes,Yes,
,5724,7/21/94,1990s,1994,Live Oak,30.261877,-97.801011,Unknown,Yes,Yes,Yes
,5668,7/27/94,1990s,1994,Live Oak,30.422039,-97.731584,Unknown,Yes,Yes,
,5784,8/1/94,1990s,1994,Live Oak,30.221521,-97.782002,Unknown,Yes,Yes,Yes
,5758,8/5/94,1990s,1994,Live Oak,30.327513,-97.765181,Unknown,Yes,Yes,Yes
,5771,8/23/94,1990s,1994,Live Oak,30.300351,-97.775767,Unknown,Yes,Yes,Yes
,5804,8/30/94,1990s,1994,Live Oak,30.237416,-97.847883,Unknown,Yes,Yes,
,5668,9/23/94,1990s,1994,Live Oak,30.42038,-97.730316,Unknown,Yes,Yes,
,5734,10/10/94,1990s,1994,Live Oak,30.183877,-97.82681,Unknown,Yes,Yes,Yes
,5668,11/9/94,1990s,1994,Live Oak,30.426266,-97.730005,Unknown,Yes,Yes,Yes
,5824,12/8/94,1990s,1994,Live Oak,30.196241,-97.825701,Unknown,Yes,Yes,
,14589,1/19/95,1990s,1995,Live Oak,30.403691,-97.734405,Unknown,Yes,Yes,
,16684,2/22/95,1990s,1995,Live Oak,30.221152,-97.857645,Unknown,Yes,Yes,
,5689,2/28/95,1990s,1995,Live Oak,30.384383,-97.689703,Unknown,Yes,Yes,Yes
,5670,3/16/95,1990s,1995,Live Oak,30.424131,-97.727298,Unknown,Yes,Yes,Yes
,5769,3/21/95,1990s,1995,Live Oak,30.360483,-97.768574,Unknown,Yes,Yes,
,5668,4/5/95,1990s,1995,Live Oak,30.42038,-97.730316,Unknown,Yes,Yes,Yes
,5752,4/11/95,1990s,1995,Live Oak,30.279068,-97.770798,Unknown,Yes,Yes,Yes
,5691,5/12/95,1990s,1995,Live Oak,30.348742,-97.698857,Unknown,Yes,Yes,Yes
,16871,5/16/95,1990s,1995,Live Oak,30.448311,-97.789692,Unknown,Yes,Yes,
,5702,5/17/95,1990s,1995,Live Oak,30.267294,-97.7265,Unknown,Yes,Yes,
,5802,5/26/95,1990s,1995,Live Oak,30.237594,-97.807374,Unknown,Yes,Yes,
,6201,5/30/95,1990s,1995,Live Oak,30.248632,-97.794205,Unknown,Yes,Yes,
,5818,5/31/95,1990s,1995,Live Oak,30.204692,-97.846412,Unknown,Yes,Yes,Yes
,5702,6/20/95,1990s,1995,Live Oak,30.251043,-97.744003,Unknown,Yes,Yes,
,16708,6/20/95,1990s,1995,Live Oak,30.391805,-97.763004,Unknown,Yes,Yes,Yes
,16708,6/20/95,1990s,1995,"Live Oak, Red Oak",30.391884,-97.762795,Unknown,Yes,Yes,Yes
,14532,6/21/95,1990s,1995,Live Oak,30.392105,-97.762712,Unknown,Yes,Yes,Yes
,5794,6/26/95,1990s,1995,Live Oak,30.196251,-97.816034,Unknown,Yes,Yes,Yes
,16730,6/27/95,1990s,1995,Live Oak,30.195179,-97.826127,Unknown,Yes,Yes,Yes
,5670,7/17/95,1990s,1995,Live Oak,30.423979,-97.727294,Unknown,Yes,Yes,
,5769,7/17/95,1990s,1995,Live Oak,30.360442,-97.766529,Unknown,Yes,Yes,
,5668,7/18/95,1990s,1995,Live Oak,30.42021,-97.730327,Unknown,Yes,Yes,
,5727,7/18/95,1990s,1995,Live Oak,30.249227,-97.792032,Unknown,Yes,Yes,
,5727,7/18/95,1990s,1995,Live Oak,30.249379,-97.792226,Unknown,Yes,Yes,
,14541,7/31/95,1990s,1995,Live Oak,30.20771,-97.879408,Unknown,Yes,Yes,Yes
,14612,8/17/95,1990s,1995,Live Oak,30.413722,-97.740139,Unknown,Yes,Yes,
,16855,8/25/95,1990s,1995,Live Oak,30.220974,-97.858243,Unknown,Yes,Yes,Yes
,5802,10/5/95,1990s,1995,Live Oak,30.245467,-97.82527,Unknown,Yes,Yes,
,5802,10/5/95,1990s,1995,Live Oak,30.24549,-97.82557,Unknown,Yes,Yes,
,5670,10/10/95,1990s,1995,Live Oak,30.425324,-97.72605,Unknown,Yes,Yes,
,5679,10/20/95,1990s,1995,Live Oaks,30.436125,-97.713905,Unknown,Yes,Yes,
,5783,10/23/95,1990s,1995,Live Oaks,30.231263,-97.777741,Unknown,Yes,Yes,
,16767,11/14/95,1990s,1995,Live Oaks,30.360611,-97.76574,Unknown,Yes,Yes,Yes
,14534,11/16/95,1990s,1995,Live Oak,30.210302,-97.816965,Unknown,Yes,Yes,Yes
,5771,12/11/95,1990s,1995,Live Oak,30.293744,-97.751622,Unknown,Yes,Yes,
,5771,1/16/96,1990s,1996,Live Oaks,30.297017,-97.771585,Unknown,Yes,Yes,Yes
,5668,2/27/96,1990s,1996,Live Oak,30.424927,-97.731285,Unknown,Yes,Yes,
,8445,2/28/96,1990s,1996,Live Oak,30.346594,-97.756099,Unknown,Yes,Yes,
,5804,4/1/96,1990s,1996,Live Oak,30.240076,-97.85261,Unknown,Yes,Yes,
,5759,4/29/96,1990s,1996,Live Oak,30.329354,-97.765769,Unknown,Yes,Yes,
,5782,5/15/96,1990s,1996,Live Oak,30.236956,-97.766738,Unknown,Yes,Yes,
,5802,5/15/96,1990s,1996,Live Oak,30.24521,-97.823069,Unknown,Yes,Yes,
,5668,5/28/96,1990s,1996,Live Oak,30.423043,-97.730475,Unknown,Yes,Yes,Yes
,16675,6/4/96,1990s,1996,Live Oak,30.196449,-97.793056,Unknown,Yes,Yes,
,5804,6/11/96,1990s,1996,Live Oak,30.240076,-97.85261,Unknown,Yes,,
,6203,6/20/96,1990s,1996,Live Oak,30.205705,-97.859378,Unknown,Yes,Yes,
,5752,6/26/96,1990s,1996,Live Oak,30.284362,-97.768282,Unknown,Yes,Yes,
,16675,7/15/96,1990s,1996,Live Oak,30.195832,-97.793116,Unknown,Yes,Yes,Yes
,16851,7/19/96,1990s,1996,Live Oak,30.355716,-97.740638,Unknown,Yes,Yes,
,14623,8/2/96,1990s,1996,Live Oak,30.205706,-97.876031,Unknown,Yes,Yes,
,5782,10/1/96,1990s,1996,Live Oak,30.236252,-97.767405,Unknown,Yes,Yes,
,5752,10/2/96,1990s,1996,Live Oak,30.284595,-97.770605,Unknown,Yes,,
,16675,10/11/96,1990s,1996,Live Oak,30.196252,-97.793354,Unknown,Yes,Yes,
,14582,10/16/96,1990s,1996,"Live Oak, Blackjack Oak",30.176819,-97.846761,Unknown,Yes,,
,16776,10/22/96,1990s,1996,Live Oak,30.31406,-97.770393,Unknown,Yes,Yes,
,16766,10/24/96,1990s,1996,Live Oak,30.283689,-97.740821,Unknown,Yes,Yes,
,5804,10/29/96,1990s,1996,Live Oak,30.239826,-97.852801,Unknown,Yes,,
,5800,11/14/96,1990s,1996,Live Oak,30.245625,-97.830935,Unknown,Yes,Yes,Yes
,5742,12/10/96,1990s,1996,Live Oaks,30.254627,-97.79002,Unknown,Yes,Yes,
,5800,12/30/96,1990s,1996,Live Oaks,30.24325,-97.829039,Unknown,Yes,Yes,
,5702,1/21/97,1990s,1997,Live Oaks,30.251448,-97.744303,Unknown,Yes,Yes,
,5748,1/24/97,1990s,1997,Live Oak,30.254829,-97.756113,Unknown,Yes,Yes,
,5668,1/28/97,1990s,1997,Live Oaks,30.424605,-97.731145,Unknown,Yes,Yes,
,5804,2/11/97,1990s,1997,Live Oak,30.239395,-97.852395,Unknown,Yes,,
,5829,3/7/97,1990s,1997,Live Oak,30.260516,-97.782706,Unknown,Yes,Yes,
,5921,3/26/97,1990s,1997,Live Oaks,30.26267,-97.801477,Unknown,Yes,Yes,
,5771,4/22/97,1990s,1997,Live Oak,30.300541,-97.774011,Unknown,Yes,Yes,
,5802,4/24/97,1990s,1997,Live Oak,30.245492,-97.825841,Unknown,Yes,Yes,
,5776,5/5/97,1990s,1997,Live Oak,30.246845,-97.784126,Unknown,Yes,Yes,Yes
,14532,5/12/97,1990s,1997,Live Oak,30.414767,-97.761994,Unknown,Yes,Yes,
,5802,5/14/97,1990s,1997,Live Oak,30.237628,-97.806477,Unknown,Yes,Yes,
,5807,5/14/97,1990s,1997,Live Oak,30.226574,-97.838697,Unknown,Yes,Yes,
,14526,5/23/97,1990s,1997,Live Oak,30.185481,-97.896629,Unknown,Yes,,
,14635,6/11/97,1990s,1997,Live Oak,30.181347,-97.811177,Unknown,Yes,Yes,
,14634,6/19/97,1990s,1997,Live Oak,30.201716,-97.821633,Unknown,Yes,Yes,
,5668,7/15/97,1990s,1997,Live Oak,30.421132,-97.731725,Unknown,Yes,Yes,
,5809,7/15/97,1990s,1997,Live Oak,30.226705,-97.863326,Unknown,Yes,Yes,
,5668,8/7/97,1990s,1997,Live Oak,30.420557,-97.731739,Unknown,Yes,Yes,
,5748,8/15/97,1990s,1997,Live Oak,30.254973,-97.757666,Unknown,Yes,Yes,
,5673,9/9/97,1990s,1997,"Live Oak, Red Oak",30.41629,-97.720546,Unknown,Yes,,
,5809,9/19/97,1990s,1997,Live Oak,30.230989,-97.867597,Unknown,Yes,Yes,
,5742,9/25/97,1990s,1997,Live Oak,30.253597,-97.790657,Unknown,Yes,Yes,Yes
,5783,10/15/97,1990s,1997,Live Oak,30.229711,-97.782082,Unknown,Yes,Yes,
,5800,10/24/97,1990s,1997,Live Oak,30.24324,-97.831768,Unknown,Yes,Yes,Yes
,5804,10/29/97,1990s,1997,Live Oak,30.241257,-97.851259,Unknown,Yes,Yes,
,5771,12/4/97,1990s,1997,Live Oak,30.299671,-97.771898,Unknown,Yes,Yes,
,5727,1/15/98,1990s,1998,Live Oak,30.248427,-97.791893,Unknown,Yes,Yes,
,5734,1/26/98,1990s,1998,Live Oak,30.181816,-97.82834,Unknown,Yes,Yes,
,5752,2/3/98,1990s,1998,Live Oak,30.285032,-97.770402,Unknown,Yes,Yes,
,5892,2/9/98,1990s,1998,Live Oak,30.22197,-97.792667,Unknown,Yes,Yes,Yes
,5702,2/17/98,1990s,1998,Live Oak,30.251956,-97.748531,Unknown,Yes,Yes,
,5778,3/4/98,1990s,1998,"Live Oak, Red Oak",30.193281,-97.805402,Unknown,Yes,Yes,Yes
,5782,3/12/98,1990s,1998,Live Oak,30.238395,-97.765959,Unknown,Yes,Yes,Yes
,5758,3/16/98,1990s,1998,"Live Oak, Red Oak",30.326017,-97.765056,Unknown,Yes,Yes,
,5806,3/19/98,1990s,1998,Live Oak,30.229999,-97.848078,Unknown,Yes,Yes,
,5784,4/3/98,1990s,1998,Live Oak,30.219787,-97.780075,Unknown,Yes,Yes,
,5800,4/16/98,1990s,1998,Live Oak,30.243416,-97.831177,Unknown,Yes,Yes,Yes
,5892,4/30/98,1990s,1998,Live Oak,30.228246,-97.797228,Unknown,Yes,Yes,Yes
,5734,5/1/98,1990s,1998,Live Oak,30.178954,-97.827757,Unknown,Yes,Yes,
,5782,5/4/98,1990s,1998,Live Oak,30.237364,-97.766567,Unknown,Yes,Yes,
,16675,5/5/98,1990s,1998,Live Oak,30.191708,-97.788638,Unknown,Yes,Yes,Yes
,5776,5/7/98,1990s,1998,Live Oak,30.251721,-97.783325,Unknown,Yes,Yes,
,16708,5/8/98,1990s,1998,Live Oak,30.391805,-97.763004,Unknown,Yes,Yes,Yes
,14642,5/13/98,1990s,1998,Live Oak,30.194309,-97.875324,Unknown,Yes,Yes,
,5759,5/18/98,1990s,1998,Live Oak,30.338134,-97.764192,Unknown,Yes,Yes,
,5769,5/18/98,1990s,1998,Live Oak,30.360896,-97.77229,Unknown,Yes,Yes,
,5809,5/18/98,1990s,1998,Live Oak,30.22747,-97.865781,Unknown,Yes,,
,5784,5/19/98,1990s,1998,Live Oak,30.220765,-97.781898,Unknown,Yes,Yes,
,14635,5/22/98,1990s,1998,Live Oak,30.181116,-97.809392,Unknown,Yes,Yes,Yes
,5776,5/27/98,1990s,1998,Live Oak,30.247364,-97.78454,Unknown,Yes,Yes,
,5724,6/5/98,1990s,1998,Live Oak,30.261693,-97.798387,Unknown,Yes,Yes,
,5804,6/5/98,1990s,1998,Live Oak,30.239395,-97.852395,Unknown,Yes,Yes,
,5817,6/19/98,1990s,1998,Live Oak,30.205382,-97.844696,Unknown,Yes,Yes,
,5735,6/24/98,1990s,1998,Live Oak,30.179107,-97.848186,Unknown,Yes,Yes,
,5819,6/24/98,1990s,1998,Live Oak,30.203881,-97.843467,Unknown,Yes,,
,6281,7/6/98,1990s,1998,Live Oak,30.205204,-97.854986,Unknown,Yes,Yes,
,14534,7/28/98,1990s,1998,Live Oak,30.202467,-97.815733,Unknown,Yes,Yes,
,14534,7/28/98,1990s,1998,Live Oak,30.202945,-97.815745,Unknown,Yes,Yes,
,14635,8/24/98,1990s,1998,Live Oak,30.176598,-97.812258,Unknown,Yes,,Yes
,5734,8/25/98,1990s,1998,Live Oak,30.181391,-97.827336,Unknown,Yes,,
,5769,8/27/98,1990s,1998,Live Oaks,30.360009,-97.771419,Unknown,Yes,Yes,
,5670,8/28/98,1990s,1998,Live Oaks,30.424258,-97.727894,Unknown,Yes,,
,5713,8/28/98,1990s,1998,Live Oaks,30.430083,-97.774208,Unknown,Yes,Yes,
,5784,9/3/98,1990s,1998,Live Oaks,30.221343,-97.781478,Unknown,Yes,,
,16811,9/24/98,1990s,1998,Live Oak,30.43719,-97.779421,Unknown,Yes,,
,5735,10/12/98,1990s,1998,"Live Oaks, Red Oaks",30.178424,-97.843819,Unknown,Yes,,
,5800,10/22/98,1990s,1998,"Live Oak, Pin Oak",30.241598,-97.826542,Unknown,Yes,,Yes
,5731,10/27/98,1990s,1998,Live Oak,30.181498,-97.81238,Unknown,Yes,Yes,
,16809,12/2/98,1990s,1998,"Live Oaks, Red Oaks",30.278555,-97.824517,Unknown,Yes,Yes,
,16675,12/8/98,1990s,1998,Live Oaks,30.199188,-97.793664,Unknown,Yes,,
,5788,12/22/98,1990s,1998,Live Oaks,30.215972,-97.806327,Unknown,Yes,,
,14642,1/8/99,1990s,1999,Live Oaks,30.19371,-97.874747,Unknown,Yes,Yes,
,5784,1/11/99,1990s,1999,Live Oaks,30.221702,-97.780572,Unknown,Yes,,
